1
umidity: 55.60, Temp: 20.00, Lux: 310.56
Humidity: 56.00, Temp: 20.00, Lux: 606.41
Humidity: 56.00, Temp: 20.00, Lux: 606.41
Humidity: 55.90, Temp: 20.00, Lux: 623.68
Humidity: 55.70, Temp: 20.00, Lux: 614.94
Humidity: 55.60, Temp: 20.00, Lux: 614.94
Humidity: 55.60, Temp: 20.00, Lux: 606.41
Humidity: 55.70, Temp: 20.00, Lux: 614.94
Humidity: 55.70, Temp: 20.10, Lux: 614.94
Humidity: 55.70, Temp: 20.10, Lux: 623.68
Humidity: 55.70, Temp: 20.10, Lux: 641.89
Humidity: 55.70, Temp: 20.10, Lux: 641.89
Humidity: 55.70, Temp: 20.10, Lux: 661.11
Humidity: 55.70, Temp: 20.10, Lux: 661.11
Humidity: 55.70, Temp: 20.10, Lux: 671.13
Humidity: 55.50, Temp: 20.10, Lux: 681.43
Humidity: 55.40, Temp: 20.10, Lux: 671.13
Humidity: 55.30, Temp: 20.10, Lux: 681.43
Humidity: 55.40, Temp: 20.10, Lux: 671.13
Humidity: 55.40, Temp: 20.10, Lux: 681.43
Humidity: 55.40, Temp: 20.10, Lux: 671.13
Humidity: 55.40, Temp: 20.10, Lux: 671.13
Humidity: 55.40, Temp: 20.20, Lux: 671.13
Humidity: 55.40, Temp: 20.20, Lux: 671.13
Humidity: 55.40, Temp: 20.10, Lux: 681.43
Humidity: 55.40, Temp: 20.20, Lux: 671.13
Humidity: 55.40, Temp: 20.20, Lux: 671.13
Humidity: 55.40, Temp: 20.10, Lux: 671.13
Humidity: 55.40, Temp: 20.20, Lux: 671.13
Humidity: 55.40, Temp: 20.20, Lux: 671.13
Humidity: 55.30, Temp: 20.20, Lux: 671.13
Humidity: 55.30, Temp: 20.20, Lux: 661.11
Humidity: 55.30, Temp: 20.20, Lux: 661.11
Humidity: 55.20, Temp: 20.20, Lux: 651.37
Humidity: 55.20, Temp: 20.20, Lux: 661.11
Humidity: 55.20, Temp: 20.20, Lux: 641.89
Humidity: 55.20, Temp: 20.20, Lux: 632.67
Humidity: 55.20, Temp: 20.20, Lux: 632.67
Humidity: 55.30, Temp: 20.20, Lux: 623.68
Humidity: 55.30, Temp: 20.20, Lux: 623.68
Humidity: 55.30, Temp: 20.20, Lux: 614.94
Humidity: 55.40, Temp: 20.20, Lux: 614.94
Humidity: 55.40, Temp: 20.20, Lux: 614.94
Humidity: 55.50, Temp: 20.20, Lux: 623.68
Humidity: 55.50, Temp: 20.20, Lux: 623.68
Humidity: 55.60, Temp: 20.20, Lux: 623.68
Humidity: 55.60, Temp: 20.20, Lux: 623.68
Humidity: 55.70, Temp: 20.20, Lux: 641.89
Humidity: 55.70, Temp: 20.30, Lux: 651.37
Humidity: 55.70, Temp: 20.30, Lux: 661.11
Humidity: 55.60, Temp: 20.30, Lux: 661.11
Humidity: 55.60, Temp: 20.30, Lux: 661.11
Humidity: 55.60, Temp: 20.30, Lux: 671.13
Humidity: 55.60, Temp: 20.30, Lux: 671.13
Humidity: 55.60, Temp: 20.30, Lux: 671.13
Humidity: 55.70, Temp: 20.30, Lux: 671.13
Humidity: 55.70, Temp: 20.30, Lux: 671.13
Humidity: 55.70, Temp: 20.30, Lux: 681.43
Humidity: 55.70, Temp: 20.30, Lux: 681.43
