
umidity: 46.90, Temp: 21.00, Lux: 249.42
Humidity: 47.00, Temp: 21.00, Lux: 623.68
Humidity: 47.30, Temp: 21.00, Lux: 623.68
Humidity: 47.30, Temp: 21.00, Lux: 623.68
Humidity: 47.30, Temp: 21.00, Lux: 623.68
Humidity: 47.30, Temp: 21.00, Lux: 623.68
Humidity: 47.30, Temp: 21.00, Lux: 623.68
Humidity: 47.20, Temp: 21.00, Lux: 623.68
Humidity: 47.20, Temp: 21.00, Lux: 623.68
Humidity: 47.10, Temp: 21.00, Lux: 623.68
Humidity: 47.10, Temp: 21.00, Lux: 632.67
Humidity: 47.10, Temp: 21.00, Lux: 651.37
Humidity: 47.10, Temp: 21.00, Lux: 671.13
Humidity: 47.00, Temp: 21.00, Lux: 692.03
Humidity: 47.00, Temp: 21.00, Lux: 702.94
Humidity: 47.00, Temp: 21.00, Lux: 692.03
Humidity: 47.00, Temp: 21.00, Lux: 681.43
Humidity: 46.90, Temp: 21.00, Lux: 661.11
Humidity: 46.90, Temp: 21.00, Lux: 632.67
Humidity: 46.90, Temp: 21.00, Lux: 614.94
Humidity: 46.90, Temp: 21.00, Lux: 623.68
Humidity: 46.90, Temp: 21.00, Lux: 623.68
Humidity: 46.90, Temp: 21.00, Lux: 632.67
Humidity: 46.80, Temp: 21.00, Lux: 641.89
Humidity: 46.70, Temp: 21.00, Lux: 641.89
Humidity: 46.70, Temp: 21.00, Lux: 641.89
Humidity: 46.70, Temp: 21.00, Lux: 651.37
Humidity: 46.70, Temp: 21.00, Lux: 651.37
Humidity: 46.80, Temp: 21.00, Lux: 661.11
Humidity: 46.80, Temp: 21.00, Lux: 661.11
Humidity: 46.80, Temp: 21.00, Lux: 661.11
Humidity: 46.80, Temp: 21.00, Lux: 671.13
Humidity: 46.80, Temp: 21.00, Lux: 681.43
Humidity: 46.70, Temp: 21.00, Lux: 681.43
Humidity: 46.70, Temp: 21.00, Lux: 692.03
Humidity: 46.60, Temp: 21.00, Lux: 692.03
Humidity: 46.60, Temp: 21.00, Lux: 692.03
Humidity: 46.60, Temp: 21.00, Lux: 692.03
Humidity: 46.60, Temp: 21.00, Lux: 692.03
Humidity: 46.60, Temp: 21.00, Lux: 681.43
Humidity: 46.60, Temp: 21.00, Lux: 692.03
Humidity: 46.60, Temp: 21.00, Lux: 681.43
Humidity: 46.60, Temp: 21.00, Lux: 671.13
Humidity: 46.60, Temp: 21.00, Lux: 661.11
Humidity: 46.60, Temp: 21.00, Lux: 632.67
Humidity: 46.60, Temp: 21.00, Lux: 623.68
Humidity: 46.60, Temp: 21.00, Lux: 614.94
Humidity: 46.60, Temp: 21.00, Lux: 614.94
Humidity: 46.60, Temp: 21.00, Lux: 614.94
Humidity: 46.60, Temp: 21.00, Lux: 632.67
Humidity: 46.60, Temp: 21.00, Lux: 641.89
Humidity: 46.60, Temp: 21.00, Lux: 641.89
Humidity: 46.60, Temp: 21.00, Lux: 651.37
Humidity: 46.60, Temp: 21.00, Lux: 661.11
Humidity: 46.60, Temp: 21.00, Lux: 671.13
Humidity: 46.60, Temp: 21.00, Lux: 681.43
Humidity: 46.60, Temp: 21.00, Lux: 692.03
Humidity: 46.60, Temp: 21.00, Lux: 692.03
Humidity: 46.60, Temp: 21.00, Lux: 702.94
