
Humidity: 40.60, Temp: 22.70, Lux: 775.81
umidity: 40.30, Temp: 22.70, Lux: 864.29
Humidity: 40.40, Temp: 22.70, Lux: 789.34
Humidity: 40.60, Temp: 22.70, Lux: 775.81
Humidity: 40.70, Temp: 22.70, Lux: 832.76
Humidity: 40.60, Temp: 22.70, Lux: 817.80
Humidity: 40.60, Temp: 22.70, Lux: 762.70
Humidity: 40.50, Temp: 22.70, Lux: 750.00
Humidity: 40.50, Temp: 22.70, Lux: 762.70
Humidity: 40.50, Temp: 22.70, Lux: 817.80
Humidity: 40.40, Temp: 22.70, Lux: 832.76
Humidity: 40.50, Temp: 22.70, Lux: 848.25
Humidity: 40.50, Temp: 22.70, Lux: 832.76
Humidity: 40.50, Temp: 22.70, Lux: 789.34
Humidity: 40.40, Temp: 22.70, Lux: 762.70
Humidity: 40.40, Temp: 22.70, Lux: 750.00
Humidity: 40.40, Temp: 22.70, Lux: 750.00
Humidity: 40.40, Temp: 22.70, Lux: 750.00
Humidity: 40.30, Temp: 22.70, Lux: 775.81
Humidity: 40.30, Temp: 22.70, Lux: 789.34
Humidity: 40.30, Temp: 22.70, Lux: 803.33
Humidity: 40.30, Temp: 22.70, Lux: 832.76
Humidity: 40.30, Temp: 22.70, Lux: 832.76
Humidity: 40.30, Temp: 22.70, Lux: 848.25
Humidity: 40.30, Temp: 22.70, Lux: 832.76
Humidity: 40.30, Temp: 22.70, Lux: 832.76
Humidity: 40.30, Temp: 22.70, Lux: 817.80
Humidity: 40.30, Temp: 22.70, Lux: 803.33
Humidity: 40.30, Temp: 22.70, Lux: 775.81
Humidity: 40.30, Temp: 22.70, Lux: 762.70
Humidity: 40.30, Temp: 22.70, Lux: 762.70
Humidity: 40.30, Temp: 22.70, Lux: 750.00
Humidity: 40.30, Temp: 22.70, Lux: 750.00
Humidity: 40.30, Temp: 22.70, Lux: 762.70
Humidity: 40.30, Temp: 22.70, Lux: 789.34
Humidity: 40.30, Temp: 22.70, Lux: 803.33
Humidity: 40.30, Temp: 22.70, Lux: 803.33
Humidity: 40.30, Temp: 22.70, Lux: 832.76
Humidity: 40.30, Temp: 22.70, Lux: 832.76
Humidity: 40.30, Temp: 22.60, Lux: 832.76
Humidity: 40.30, Temp: 22.70, Lux: 832.76
Humidity: 40.30, Temp: 22.60, Lux: 803.33
Humidity: 40.40, Temp: 22.70, Lux: 803.33
Humidity: 40.40, Temp: 22.70, Lux: 817.80
Humidity: 40.40, Temp: 22.70, Lux: 789.34
Humidity: 40.40, Temp: 22.70, Lux: 775.81
Humidity: 40.40, Temp: 22.70, Lux: 775.81
Humidity: 40.40, Temp: 22.60, Lux: 762.70
Humidity: 40.30, Temp: 22.60, Lux: 775.81
Humidity: 40.30, Temp: 22.60, Lux: 762.70
Humidity: 40.30, Temp: 22.60, Lux: 750.00
Humidity: 40.30, Temp: 22.60, Lux: 750.00
Humidity: 40.30, Temp: 22.60, Lux: 750.00
Humidity: 40.30, Temp: 22.60, Lux: 750.00
Humidity: 40.40, Temp: 22.70, Lux: 750.00
Humidity: 40.40, Temp: 22.70, Lux: 750.00
Humidity: 40.40, Temp: 22.60, Lux: 762.70
Humidity: 40.40, Temp: 22.60, Lux: 762.70
Humidity: 40.40, Temp: 22.60, Lux: 775.81
