1
umidity: 64.20, Temp: 27.10, Lux: 606.41
Humidity: 65.10, Temp: 27.20, Lux: 651.37
Humidity: 65.30, Temp: 27.20, Lux: 661.11
Humidity: 65.00, Temp: 27.20, Lux: 641.89
Humidity: 64.20, Temp: 27.20, Lux: 661.11
Humidity: 63.80, Temp: 27.20, Lux: 681.43
Humidity: 63.50, Temp: 27.20, Lux: 692.03
Humidity: 63.30, Temp: 27.20, Lux: 692.03
Humidity: 63.00, Temp: 27.20, Lux: 702.94
Humidity: 62.70, Temp: 27.20, Lux: 702.94
Humidity: 62.40, Temp: 27.20, Lux: 692.03
Humidity: 62.20, Temp: 27.20, Lux: 681.43
Humidity: 62.00, Temp: 27.20, Lux: 671.13
Humidity: 61.80, Temp: 27.20, Lux: 651.37
Humidity: 61.50, Temp: 27.20, Lux: 632.67
Humidity: 61.30, Temp: 27.20, Lux: 623.68
Humidity: 61.10, Temp: 27.20, Lux: 614.94
Humidity: 61.10, Temp: 27.30, Lux: 623.68
Humidity: 61.00, Temp: 27.20, Lux: 632.67
Humidity: 60.80, Temp: 27.20, Lux: 641.89
Humidity: 60.70, Temp: 27.30, Lux: 651.37
Humidity: 60.50, Temp: 27.20, Lux: 661.11
Humidity: 60.50, Temp: 27.30, Lux: 671.13
Humidity: 60.40, Temp: 27.30, Lux: 681.43
Humidity: 60.30, Temp: 27.30, Lux: 681.43
Humidity: 60.20, Temp: 27.20, Lux: 692.03
Humidity: 60.20, Temp: 27.30, Lux: 692.03
Humidity: 60.20, Temp: 27.30, Lux: 702.94
Humidity: 60.10, Temp: 27.20, Lux: 692.03
Humidity: 60.00, Temp: 27.20, Lux: 692.03
Humidity: 60.10, Temp: 27.30, Lux: 702.94
Humidity: 60.10, Temp: 27.30, Lux: 702.94
Humidity: 60.00, Temp: 27.30, Lux: 702.94
Humidity: 60.00, Temp: 27.30, Lux: 692.03
Humidity: 59.90, Temp: 27.20, Lux: 692.03
Humidity: 59.90, Temp: 27.30, Lux: 681.43
Humidity: 59.90, Temp: 27.30, Lux: 681.43
Humidity: 59.90, Temp: 27.30, Lux: 681.43
Humidity: 59.90, Temp: 27.30, Lux: 661.11
Humidity: 59.80, Temp: 27.30, Lux: 641.89
Humidity: 59.80, Temp: 27.30, Lux: 632.67
Humidity: 59.80, Temp: 27.30, Lux: 632.67
Humidity: 59.80, Temp: 27.30, Lux: 632.67
Humidity: 59.70, Temp: 27.30, Lux: 623.68
Humidity: 59.70, Temp: 27.30, Lux: 623.68
Humidity: 59.70, Temp: 27.30, Lux: 623.68
Humidity: 59.70, Temp: 27.30, Lux: 623.68
Humidity: 59.70, Temp: 27.30, Lux: 632.67
Humidity: 59.70, Temp: 27.30, Lux: 641.89
Humidity: 59.70, Temp: 27.30, Lux: 651.37
Humidity: 59.70, Temp: 27.30, Lux: 671.13
Humidity: 59.70, Temp: 27.30, Lux: 681.43
Humidity: 59.70, Temp: 27.30, Lux: 671.13
Humidity: 59.60, Temp: 27.30, Lux: 671.13
Humidity: 59.60, Temp: 27.30, Lux: 681.43
Humidity: 59.60, Temp: 27.30, Lux: 692.03
Humidity: 59.70, Temp: 27.30, Lux: 702.94
Humidity: 59.70, Temp: 27.30, Lux: 692.03
Humidity: 59.70, Temp: 27.30, Lux: 702.94
