
umidity: 60.50, Temp: 27.10, Lux: 150.78
Humidity: 61.40, Temp: 27.10, Lux: 189.25
Humidity: 61.50, Temp: 27.10, Lux: 200.98
Humidity: 61.30, Temp: 27.00, Lux: 222.34
Humidity: 60.90, Temp: 27.10, Lux: 249.42
Humidity: 60.90, Temp: 27.10, Lux: 262.20
Humidity: 60.90, Temp: 27.10, Lux: 268.01
Humidity: 60.80, Temp: 27.10, Lux: 270.00
Humidity: 60.70, Temp: 27.10, Lux: 268.01
Humidity: 60.60, Temp: 27.10, Lux: 266.05
Humidity: 60.60, Temp: 27.10, Lux: 262.20
Humidity: 60.60, Temp: 27.10, Lux: 256.59
Humidity: 60.50, Temp: 27.10, Lux: 247.67
Humidity: 60.50, Temp: 27.10, Lux: 242.57
Humidity: 60.50, Temp: 27.10, Lux: 242.57
Humidity: 60.50, Temp: 27.10, Lux: 244.25
Humidity: 60.50, Temp: 27.10, Lux: 249.42
Humidity: 60.50, Temp: 27.10, Lux: 256.59
Humidity: 60.40, Temp: 27.00, Lux: 260.30
Humidity: 60.30, Temp: 27.00, Lux: 264.11
Humidity: 60.50, Temp: 27.10, Lux: 268.01
Humidity: 60.30, Temp: 27.00, Lux: 266.05
Humidity: 60.40, Temp: 27.00, Lux: 268.01
Humidity: 60.40, Temp: 27.00, Lux: 270.00
Humidity: 60.40, Temp: 27.00, Lux: 270.00
Humidity: 60.40, Temp: 27.00, Lux: 270.00
Humidity: 60.40, Temp: 27.00, Lux: 268.01
Humidity: 60.30, Temp: 27.00, Lux: 268.01
Humidity: 60.40, Temp: 27.00, Lux: 270.00
Humidity: 60.40, Temp: 27.00, Lux: 270.00
Humidity: 60.40, Temp: 27.00, Lux: 270.00
Humidity: 60.40, Temp: 27.00, Lux: 268.01
Humidity: 60.40, Temp: 27.00, Lux: 268.01
Humidity: 60.40, Temp: 27.00, Lux: 268.01
Humidity: 60.40, Temp: 27.00, Lux: 270.00
Humidity: 60.40, Temp: 27.00, Lux: 268.01
Humidity: 60.50, Temp: 27.00, Lux: 268.01
Humidity: 60.40, Temp: 27.00, Lux: 268.01
Humidity: 60.40, Temp: 27.00, Lux: 268.01
Humidity: 60.40, Temp: 27.00, Lux: 266.05
Humidity: 60.40, Temp: 27.00, Lux: 268.01
Humidity: 60.50, Temp: 27.00, Lux: 268.01
Humidity: 60.40, Temp: 27.00, Lux: 268.01
Humidity: 60.50, Temp: 27.00, Lux: 268.01
Humidity: 60.50, Temp: 27.00, Lux: 270.00
Humidity: 60.40, Temp: 27.00, Lux: 268.01
Humidity: 60.50, Temp: 27.00, Lux: 270.00
Humidity: 60.50, Temp: 27.00, Lux: 268.01
Humidity: 60.50, Temp: 27.00, Lux: 270.00
Humidity: 60.50, Temp: 27.00, Lux: 270.00
Humidity: 60.50, Temp: 27.00, Lux: 268.01
Humidity: 60.50, Temp: 27.00, Lux: 270.00
Humidity: 60.50, Temp: 27.00, Lux: 268.01
Humidity: 60.50, Temp: 27.00, Lux: 266.05
Humidity: 60.50, Temp: 27.00, Lux: 260.30
Humidity: 60.50, Temp: 27.00, Lux: 258.43
Humidity: 60.50, Temp: 27.00, Lux: 252.96
Humidity: 60.50, Temp: 27.00, Lux: 245.95
Humidity: 60.50, Temp: 27.00, Lux: 242.57
